Company,Country,Product,Address,Phone_Number,Sajt
Advance Technologies,Ireland,Graphics Card,"40 Tweedale Street, Rochdale, OL11 1HH, UK",+353-870-777-3786,http://www.advancetec.co.uk/
Agency Sales,Ireland,Graphics Card,"ASL House, Debdale Lane, Mansfield Woodhouse, Nottinghamshire, NG19 7NS, UK",+353-1623-473040,https://www.gigabyte.com/www.aslweb.co.uk
Amazon IE,,"Motherboard ,  Graphics Card",,,http://www.amazon.co.uk/
Aria PC Technology,Ireland,"Motherboard ,  Graphics Card","Aria Technology, Aria House, 2 Belle Vue Avenue, Pottery Lane, Manchester, M12 4AS, UK",+353-870-499-2499,http://www.aria.co.uk/
CCL computers,Ireland,"Motherboard ,  Graphics Card",+353-1274471201,,http://www.cclonline.com/brand-categories.asp?Manufacturer_id=109
COCC,,Graphics Card,,,http://www.cocc.co.uk/
Custom PC,Ireland,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Mini-PC System (BRIX)","Enterprise Business Park , Carlow , Republic of Ireland",+353-1 685 4115,http://www.custompcparts.ie/
Dabs IE,,"Motherboard ,  Graphics Card",,,http://www.dabs.ie/
Ebuyer,,"Motherboard ,  Graphics Card",,,http://www.ebuyer.com/
Eclipse Computers,Ireland,Graphics Card,"Eclipse House, 106 Saint Nicholas Street, Coventry, CV1 4BT, UK",+353-8707-456-000,http://www.eclipsecomputers.com/
Enta Group,Ireland,"Motherboard ,  Graphics Card","Enta Group, Stafford Park6, Telford, Shropshire, TF3 3AT, UK",+353-870-770-9588,http://www.entagroup.com/
Falcon Computers,Ireland,Graphics Card,"190-206 Roker Avenue, Roker, Sunderland, SR6 0BN, UK",+353-191-567-6669,http://www.falconcomputers.co.uk/
Gold Chip Computer Systems,Ireland,Graphics Card,"45 Newcastle Road Sunderland SR5 1JB, UK",+353-191-549-4477,http://www.goldchip.uk.com/
Ingram Micro,Ireland,Graphics Card,+353-870-405-3440,,http://www.ingrammicro.co.uk/
Insight,,Graphics Card,,,
Land of Computers,Ireland,Graphics Card,"103 City Rd, Cardiff, CF24 3DQ, UK",+353-29-2049-4000,
Maplin IE,,"Motherboard ,  Graphics Card",,,http://www.maplin.co.uk/
Micro-P(Accrington office),Ireland,"Motherboard ,  Graphics Card",+353-1282-776776,+353-+44 (0)1282 770001,http://www.micro-p.com/
Micro-P(Basingstoke),Ireland,"Motherboard ,  Graphics Card",+353-1256-707070,+353-+44 (0)1256 707505,http://www.micro-p.com/
Misco,,Graphics Card,,,http://www.misco.co.uk/
Novatech,,Graphics Card,,,http://www.novatech.co.uk/
Overclockers,Ireland,Graphics Card,"Unit 40 Imex Business Park, Ormonde Road, Fenton, Stoke on Trent, Staffordshire, ST4 3NP, UK",+353-870-4430880,http://www.overclockers.co.uk/
PC World,,"Motherboard ,  Graphics Card",,,http://www.pcworld.co.uk/
RL Supplies,Ireland,Graphics Card,"Unit 24, Peerglow Industrial Estate, Old Approach(off Tolpits lane), Watford, WD18 9SR, UK",+353-1923-896996,http://www.rlsupplies.co.uk/
Scan,,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse",,,http://www.scan.co.uk/
Target Components,Ireland,"Motherboard ,  Graphics Card","Unit 5, Pioneer Way, Pioneer Business Park, Castleford, WF10 5QU, UK",+353-1977-739295,http://www.targetcomponents.co.uk/
Alfa.i Computers Ltd.,Israel,"Motherboard ,  Graphics Card ,  All-in-One Barebone ,  Keyboard ,  Mouse ,  Mini-PC Barebone (BRIX)","Hazuran 4, Netanya, Israel",+972-73-2101200,http://www.1pc.co.il/
TMS,Israel,"Motherboard ,  Graphics Card ,  All-in-One Barebone ,  Keyboard ,  Mouse ,  Mini-PC Barebone (BRIX)",הצורן 4א נתניה 4250604 4a Hazoran st. Netanya 4250604,+972-1-700-508-506,http://www.tms.co.il/
